rid,binaryID
12705,11111100110000011110101001001011101100010110001010001
12706,1111110011000000
12707,11111100110000000
12708,111111001100000000111
12709,11111100110000000011
12710,111111001100000000
12711,1111110011000000001
12712,1111110011000000001110
12713,1111110011000000001110101
12714,11111100110000000011101010
12715,111111001100000000111010100
12716,1111110011000000001110101000
12717,11111100110000000011101010000
12718,111111001100000000111010100000
12719,1111110011000000001110101000001
12720,11111100110000000011101010000010
12721,111111001100000000111010100000100
12722,1111110011000000001110101000001000
12723,11111100110000000011101010000010001
12724,111111001100000000111010100000100010
12725,1111110011000000001110101000001000100
12726,10
12727,101
12728,1011
12729,10110
12730,101100
12731,1011001
12732,10110011
12733,101100110
12734,1011001101
12735,101100110111110
12736,1011001101111100
12737,10110011011111000
12738,101100110111110000
12739,1011001101111100000
12740,10110011011111000000
12741,11
12742,111
12743,1111
12744,111111
12745,11111
12746,1111110
12747,11111100
12748,11111100110000011110101001001011101100010110001010110100000101101111110010111111101111
12749,111111001100000111101010010010111011000101100010101101000001011011111100101111111011111
12750,1111110011000001111010100100101110110001011000101011010000010110111111001011101
12751,11111100110000011110101001001011101100010110001010110100000101101111110010111010
12752,11111100110000011110101001001011101100010110001010110100000101101111110010111011
12753,111111001100000111101010010010111011000101100010101101000001011011111100101110111
12754,1111110011000001111010100100101110110001011000101011010000010110111111001010
12755,11111100110000011110101001001011101100010110001010110100000101101111110010101
12756,111111001100000111101010010010111011000101100010101101000001011011101
12757,1111110011000001111010100100101110110001011000101011010000010110111011
12758,11111100110000011110101001001011101100010110001010110100000101101110111
12759,11111100110000011110101001001011101100010110001010110100000101101110111111
12760,111111001100000111101010010010111011000101100010101101000001011011101111110
12761,1111110011000001111010100100101110110001011000101011010000010110111011111100
12762,11111100110000011110101001001011101100010110001010110100000101101110111111001
12763,1111110011000001111010100100101110110001011000101011010000010110111011111101
12764,11111100110000011110101001001011101100010110001010110100000101101110111111010
12765,111111001100000111101010010010111011000101100010101101000001011011101111110100
12766,1111110011000001111010100100101110110001011000101011010000010110111011111101001
12767,11111100110000011110101001001011101100010110001010110100000101101110111111011
12768,111111001100000111101010010010111011000101100010101101000001011011101111110110
12769,111111001100000111101010010010111011000101100010101101000001011011101111110111
12770,111111001100000111101010010010111011000101100010101101000001011011101111110101
12771,1111110011000001111010100100101110110001011000101011010000010110111011111101010
12772,1111110011000001111010100100101110110001011000101011010000010110111011111101011
12773,111111001100000111101010010010111011000101100010101101000001011011101111111
12774,1111110011000001111010100100101110110001011000101011010000010110111011111110
12775,1111110011000001111010100100101110110001011000101011010000010110111011111111
12776,11111100110000011110101001001011101100010110001010110100000101101110111101
12777,111111001100000111101010010010111011000101100010101101000001011011101111011
12778,111111001100000111101010010010111011000101100010101101000000111
12779,111111001100000111101010010010111011000101100010101101000000
12780,11111100110000011110101001001011101100010110001010110100000011
12781,1111110011000001111010100100101110110001011000101011010000001
12782,1111110011000001111010100100101110110001011000101011010000001111
12783,11111100110000011110101001001011101100010110001010110100000011111
12784,111111001100000111101010010010111011000101100010101101000000111110
12785,11111100110000011110101001001011101100010110001010110100000011111111111
12786,111111001100000111101010010010111011000101100010101101000000111111
12787,111111001100000111101010010010111011000101100010101101000000111111111
12788,11111100110000011110101001001011101100010110001010110100000011111111
12789,1111110011000001111010100100101110110001011000101011010000001111111111
12790,1111110011000001111010100100101110110001011000101011010000001111111
12791,1111110011000001111010100100101110110001011000101011010000010110111111001
12792,11111100110000011110101001001011101100010110001010110100000101101111110010
12793,11111100110000011110101001001011101100010110001010110100000101101111110011
12794,111111001100000111101010010010111011000101100010101101000001011011111101000001
12795,1111110011000001111010100100101110110001011000101011010000010110111111010000010
12796,1111110011000001111010100100101110110001011000101011010000010110111111010000011
12797,11111100110000011110101001001011101100010110001010110100000101101111110100000110
12798,11111100110000011110101001001011101100010110001010110100000101101111110100000111
12799,11111100110000011110101001001011101100010110001010110100000101101111110010111
12800,111111001100000111101010010010111011000101100010101101000001011011111100101110
12801,111111001100000111101010010010111011000101100010101101000001011011111100101111
12802,1111110011000001111010100100101110110001011000101011010000010110111111001011110
12803,1111110011000001111010100100101110110001011000101011010000010110111111001011111
12804,1111110011000001111010100100101110110001011000101011010000010110111011110
